arxiv_id,published,primary_category,domains,title,journal_ref,url
2609.11915,2026-09-10,stat.ML,15-营销投放分析,Generative Marketing Mix Modeling: A Causal Inference Framework Linking GEO and GEM to Business Impact,,https://arxiv.org/abs/2609.11915
2609.11872,2026-09-10,stat.ML,03-时间序列|14-用户分析,Evaluating Time-Series Foundation Models and Multimodal Dietary Context for CGM Forecasting,,https://arxiv.org/abs/2609.11872
2609.11838,2026-09-10,cs.CL,12-ML基础|14-用户分析,"Target leakage, not model class, explains reported accuracy in survey-based cardiovascular screening: a leakage-tiered audit of glass-box and tabular foundation models",,https://arxiv.org/abs/2609.11838
2609.11817,2026-09-10,math.OC,04-供应链,Constrained Deep Inventory Management Using Forward-Backward SDEs,,https://arxiv.org/abs/2609.11817
2609.11728,2026-09-10,cs.SE,16-智能体工程,Reproducibility in the Age of Agentic AI: Context Engineering at the Timescale of a Codebase,,https://arxiv.org/abs/2609.11728
2609.11620,2026-09-10,cs.CL,04-供应链,"A Training-Free, Alignment-Free Approach to Corporate Intelligence: Application to SEC Filings",,https://arxiv.org/abs/2609.11620
2609.11569,2026-09-10,cs.AI,08-知识图谱,Enabling Knowledge Graph Understanding at Scale with the EXplore Your Graphs ENgine (EXYGEN),,https://arxiv.org/abs/2609.11569
2609.11493,2026-09-10,cs.AI,08-知识图谱,From Document Silos to Process Intelligence: A Multi-Layer Knowledge Graph for CMC Process Development,,https://arxiv.org/abs/2609.11493
2609.11365,2026-09-10,cs.AI,14-用户分析,"Portable Semantics, Private Dialects: Reuse and Negative Transfer in Latent Communication Between Language-Model Cells",,https://arxiv.org/abs/2609.11365
2609.11318,2026-09-10,cs.AI,09-DataAgent-LLM|16-智能体工程,Mr.LHDR: A Benchmark for Multimodal Real-World Long-Horizon Deep Research Agents,,https://arxiv.org/abs/2609.11318
2609.11295,2026-09-10,stat.ML,03-时间序列,A Hilbert-Valued Functional Decomposition Framework for Explaining Time-Dependent Outputs,,https://arxiv.org/abs/2609.11295
2609.11190,2026-09-10,cs.AI,00-电商Agent,Agentic Share-of-Search: A Multi-Agent AI System for Competitive Decision-Making in LLM-Mediated E-Commerce,,https://arxiv.org/abs/2609.11190
2609.11141,2026-09-10,cs.CL,09-DataAgent-LLM,Can LLMs Normalize Databases? A Benchmark and Multi-Agent Framework for Schema Normalization,,https://arxiv.org/abs/2609.11141
2609.11115,2026-09-10,cs.AI,16-智能体工程,Benchmark Radar: A Living Database and Search Engine for AI Benchmarks and Evaluation,,https://arxiv.org/abs/2609.11115
2609.11108,2026-09-10,cs.MA,10-MAS,But How Would AI Agents Run a Town's Economy?,,https://arxiv.org/abs/2609.11108
2609.11052,2026-09-10,cs.IR,02-A_B实验,UniRec: Cross-stage Multi-Task Fusion with Preference Alignment for Cascaded Recommender Systems,,https://arxiv.org/abs/2609.11052
2609.11032,2026-09-10,stat.ME,14-用户分析,Bayesian Variable Selection for High-Dimensional Predictors with Missing Psychometric Outcomes,,https://arxiv.org/abs/2609.11032
2609.11012,2026-09-10,stat.ME,05-推荐系统,Discretization in covariate-adaptive randomization: gains and losses,,https://arxiv.org/abs/2609.11012
2609.10962,2026-09-10,cs.SE,16-智能体工程,"What a Random Draw from the MCP Registry Contains, and What Tool-Use Benchmarks Contain Instead",,https://arxiv.org/abs/2609.10962
2609.10854,2026-09-09,cs.CR,16-智能体工程,No-Box Vulnerability Analysis: Description-only Detection of Indirect Prompt Injection Vulnerabilities in MCP Servers,,https://arxiv.org/abs/2609.10854
2609.10831,2026-09-09,q-bio.QM,14-用户分析,scDEFT: A deep learning framework for drug-effect prediction and counterfactual reasoning,,https://arxiv.org/abs/2609.10831
2609.10825,2026-09-09,eess.IV,14-用户分析,Scale-Aware 3D Deep Learning for Robust Brain Metastasis Detection in Multimodal MRI,"Proceedings of the International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI 2026), Strasbourg, Sep 2026",https://arxiv.org/abs/2609.10825
2609.10430,2026-09-09,cs.MA,09-DataAgent-LLM,Glyph: A Multi-Strategy Agentic System for Column Description and Sensitivity-Ontology Tagging of Enterprise Data Catalogs,,https://arxiv.org/abs/2609.10430
2609.10397,2026-09-09,cs.SE,16-智能体工程,Retrofitting Code Using LLMs to Support Exceptional Behavior,,https://arxiv.org/abs/2609.10397
2609.10357,2026-09-09,cs.LG,03-时间序列,A Later Test Set Is Not a New Domain: Pretraining Familiarity Survives a Contamination-Free Hold-Out,,https://arxiv.org/abs/2609.10357
2609.10266,2026-09-09,cs.CL,10-MAS,KVShareArena: KV-Cache Reuse Across Contexts and Model Checkpoints,,https://arxiv.org/abs/2609.10266
2609.10237,2026-09-09,cs.CL,08-知识图谱,The Answer Path and the Grounding Instruction in LLM Question Answering over Knowledge Graphs,,https://arxiv.org/abs/2609.10237
2609.10125,2026-09-09,cs.CV,14-用户分析,SA-Profile: Automated Sulcus Angle Profiling from Super-Resolution MRI,,https://arxiv.org/abs/2609.10125
2609.09786,2026-09-09,cs.LG,14-用户分析,NEXUS-MI: Communication-Aware Federated Personalization for Gateway-Coordinated Motor-Imagery Brain-Computer Interfaces,,https://arxiv.org/abs/2609.09786
2609.09696,2026-09-09,cs.CL,04-供应链,When Auditors Fabricate: Batch-Size Degradation and Confident Hallucination in LLM Detection of Planted Document Contamination,,https://arxiv.org/abs/2609.09696
2609.09687,2026-09-09,cs.SI,14-用户分析,"Chance, Persistent Advantage, and the Generative-AI Era in Open-Source Package Careers",,https://arxiv.org/abs/2609.09687
2609.09634,2026-09-09,cs.CV,14-用户分析,LightMedSeg-ISLES: Stroke Lesion Segmentation with 81x Fewer Parameters than nnU-Net,,https://arxiv.org/abs/2609.09634
2609.09586,2026-09-09,stat.ML,03-时间序列,Distillation of Synthetic Data for Time Series Foundation Models,,https://arxiv.org/abs/2609.09586
2609.09503,2026-09-08,cs.RO,16-智能体工程,Agentic AI-enabled Semantic Commissioning of a Cognitive Digital Twin for Reconfigurable Manufacturing,,https://arxiv.org/abs/2609.09503
2609.09488,2026-09-08,econ.EM,14-用户分析,Two Margins in Difference-in-Differences with a Continuous Treatment,,https://arxiv.org/abs/2609.09488
2609.09477,2026-09-08,cs.CV,14-用户分析,LeCor: Learning to Be Corrected by Meta-Learned Test-Time Training for Interactive 3D Lung-Tumour Segmentation,,https://arxiv.org/abs/2609.09477
2609.09072,2026-09-08,cs.CL,16-智能体工程,ToolLoop: Closed-Loop Tool-Use Data Synthesis via Decomposed Generation and Dynamic Self-Feedback,,https://arxiv.org/abs/2609.09072
2609.08950,2026-09-08,cs.DB,09-DataAgent-LLM,SQLMorph: Query Mutation and Fine-Grained Metrics for Text-to-SQL Evaluation,"2026 IEEE 42nd International Conference on Data Engineering (ICDE), pp. 2628-2640",https://arxiv.org/abs/2609.08950
2609.08944,2026-09-08,cs.AI,16-智能体工程,SkillAdam: Stable and Efficient Skill Evolution for Agents,,https://arxiv.org/abs/2609.08944
2609.10615,2026-09-08,econ.EM,15-营销投放分析,"ACT, WAIT, or EXPERIMENT: A Causal Governance Framework for Retail Price Optimization Under Abstentions",,https://arxiv.org/abs/2609.10615
2609.08790,2026-09-08,cs.CR,08-知识图谱,Evidence-Grounded Retrieval for Investigation Hunt Lead Generation from CTI Reports,,https://arxiv.org/abs/2609.08790
2609.08725,2026-09-08,cs.LG,02-A_B实验,BAFF: Bid-Aware Filter Family for Mitigating Training Data Interference in RTB A/B Tests,,https://arxiv.org/abs/2609.08725
2609.08443,2026-09-08,cs.IR,05-推荐系统,SequenceO1: End-to-End Ultra-Long (100K) Sequence Modeling in Recommendation with Low-Rank Caching,,https://arxiv.org/abs/2609.08443
2609.08375,2026-09-08,cs.LG,03-时间序列,IPM-FM: A Foundation Model with Consensus Feature Selection for Industrial Process Monitoring,,https://arxiv.org/abs/2609.08375
2609.08318,2026-09-08,cs.SE,16-智能体工程,AttnCompress: Dynamic Attention-Guided Trajectory Compression for Software Engineering Agents,,https://arxiv.org/abs/2609.08318
2609.08273,2026-09-08,cs.AI,16-智能体工程,MemForest: Efficient Agent Memory Management via EventTree Partitioning and Progressive Merging,,https://arxiv.org/abs/2609.08273
2609.08228,2026-09-08,cs.AI,16-智能体工程,SE-GoS: Self-Evolving Graph-of-Skills for Skill Library at Scale,,https://arxiv.org/abs/2609.08228
2609.08183,2026-09-08,cs.CL,16-智能体工程,NeoHorse-1: Towards Recursive Self-Improvement via Agentic Post-Training with Routing Harness,,https://arxiv.org/abs/2609.08183
2609.08090,2026-09-08,cs.AI,14-用户分析,RevalExo: A Functional Daily-Activity Benchmark for Inertial and Visual Locomotion Mode Recognition in Older Adults and Clinical Cohorts,,https://arxiv.org/abs/2609.08090
2609.08071,2026-09-08,cs.AI,04-供应链,Automated Design of Inventory Policy with Large Language Models: An Exploratory Study,,https://arxiv.org/abs/2609.08071
2609.08025,2026-09-07,cs.AI,16-智能体工程,Eliciting Self-Verification in Multimodal Reasoning Agents with Reinforcement Learning,,https://arxiv.org/abs/2609.08025
2609.07986,2026-09-07,cs.LG,05-推荐系统,Automated Chest CT Protocol Selection via Large Language Model Derived Text Embeddings from Imaging Request Text,,https://arxiv.org/abs/2609.07986
2609.07956,2026-09-07,cs.LG,12-ML基础,Streaming Hierarchical Inference with Tabular Foundation Models,,https://arxiv.org/abs/2609.07956
2609.09233,2026-09-07,cs.AI,16-智能体工程,Subagents vs Agent Skills: Executing Reusable Knowledge for Long-Horizon Agentic Tasks,,https://arxiv.org/abs/2609.09233
2609.07888,2026-09-07,econ.EM,01-因果推断,Median-based Splitting Rules for Causal Trees and Forests,,https://arxiv.org/abs/2609.07888
2609.07794,2026-09-07,stat.AP,14-用户分析,Two-resolution state modelling of intermittent online gambling activity during Sweden's temporary deposit-cap period,,https://arxiv.org/abs/2609.07794
2609.07729,2026-09-07,cs.LG,14-用户分析,Attributing Cohen's d: Training Data Attribution for Disease-Related Effects in Normative Age Biomarkers,,https://arxiv.org/abs/2609.07729
2609.07719,2026-09-07,cs.AI,14-用户分析,A radiographic world model for clinical reasoning and evidence generation,,https://arxiv.org/abs/2609.07719
2609.07718,2026-09-07,eess.IV,14-用户分析,Spatial Feature-wise Linear Modulation (SpFiLM) for Contrast Agent-Aware Brain Parcellation,,https://arxiv.org/abs/2609.07718
2609.07633,2026-09-07,econ.EM,02-A_B实验,Robust A/B Decisions,,https://arxiv.org/abs/2609.07633
2609.07629,2026-09-07,cs.IR,09-DataAgent-LLM,"Open Tabular Insight Extraction: Where Do We Stand, and Where Should We Go?",,https://arxiv.org/abs/2609.07629
2609.07529,2026-09-07,cs.LG,16-智能体工程,CoRL: Co-Evolutionary Reinforcement Learning for Adaptive Indirect Prompt-Injection Attacks and Defenses,,https://arxiv.org/abs/2609.07529
2609.07441,2026-09-07,cs.LG,12-ML基础,TabBench-Bio: A Living Benchmark for Machine Learning on High-Dimensional Biomedical Tables,,https://arxiv.org/abs/2609.07441
2609.07370,2026-09-07,cs.CL,16-智能体工程,Beyond Fluent Generation: A CPU Reliability Benchmark for MCP-Style Tool Calling in Sub-2B Small Language Models for Edge Deployment,,https://arxiv.org/abs/2609.07370
2609.07305,2026-09-07,cs.CL,14-用户分析,"Marginal Fidelity Does Not Establish User Simulation in Demographic Synthetic Survey Panels: Response Contracts, Support Collapse and Conditioning Failure",,https://arxiv.org/abs/2609.07305
