score_hint,journal,tier,domain,published,title,biz_hits,doi,url
5,ACM TOIS,CCF-A 期刊,信息系统/电商,2026-9-6,A Survey of Large Language Model Empowered Agents for Recommendation and Search: Towards Next-Generation Information Retrieval,recommend|search|retrieval|large language model|agent,10.1145/3842663,https://doi.org/10.1145/3842663
4,Electronic Commerce Research,ABS2/电商专刊,营销/定价/促销,2026-8-24,Who should launch coupon promotion in an e-commerce supply chain?,promotion|coupon|supply chain|e-commerce,10.1007/s10660-026-10184-7,https://doi.org/10.1007/s10660-026-10184-7
4,European Journal of Operational Research,ABS4/CCF-B,运营/供应链,2026-8,Robust optimization of prepack-based inventory control and demand fulfillment for two-echelon e-commerce distribution networks,inventory|fulfill|e-commerce|llm,10.1016/j.ejor.2026.08.020,https://doi.org/10.1016/j.ejor.2026.08.020
4,European Journal of Operational Research,ABS4/CCF-B,运营/供应链,2026-8,Artificial intelligence customer service adoption strategy in platform supply chain: Strategic interactions and consumer automation aversion,supply chain|consumer|customer|platform,10.1016/j.ejor.2025.12.032,https://doi.org/10.1016/j.ejor.2025.12.032
4,Information Systems Research,UTD24/FT50,信息系统/电商,2026-8-17,Revenue in First- and Second-Price Display Advertising Auctions: Understanding Markets with Learning Agents,advertis|auction|price|agent,10.1287/isre.2025.2160,https://doi.org/10.1287/isre.2025.2160
4,Journal of Marketing Research,UTD24/FT50,营销/定价/促销,2026-9-6,"EXPRESS: Behavioral Research Through Interpretable, Dimensionality-reduced Generative AI Embeddings (BRIDGE): A Method to Incorporate Real-World Stimuli in Consumer Experiments",search|experiment|consumer|generative ai,10.1177/00222437261484068,https://doi.org/10.1177/00222437261484068
4,MIS Quarterly,UTD24/FT50,信息系统/电商,2026-9-1,Stimulating Feedback Contributions Using Digital Nudges: A Field Experiment in a Real-Time Mobile Feedback Platform,experiment|platform|digital|mobile,10.25300/misq/2025/18920,https://doi.org/10.25300/misq/2025/18920
3,ACM TIST,CCF-B 期刊,信息系统/电商,2026-9-2,When AI Meets Finance (StockAgent): A Benchmark for Simulating Large Language Model Behaviors in Controlled Trading Environments,stock|large language model|agent,10.1145/3844605,https://doi.org/10.1145/3844605
3,ACM TIST,CCF-B 期刊,信息系统/电商,2026-8-24,Empowering Job Recommendation with Large Language Models: A Generative and Attentive Approach,recommend|app|large language model,10.1145/3828655,https://doi.org/10.1145/3828655
3,ACM TIST,CCF-B 期刊,信息系统/电商,2026-8-10,Enhancing Review-Augmented Contrastive Recommendation with LLM-based Generation,recommend|review|llm,10.1145/3834863,https://doi.org/10.1145/3834863
3,ACM TOIS,CCF-A 期刊,信息系统/电商,2026-8-26,Integrating Heterogeneous Knowledge for Enhanced Recommendation with Large Language Models,recommend|heterogeneous|large language model,10.1145/3831695,https://doi.org/10.1145/3831695
3,ACM TOIS,CCF-A 期刊,信息系统/电商,2026-8-26,Synergizing Large Language Model and Knowledge Graph for Cold-Start Recommendation,recommend|cold-start|large language model,10.1145/3830081,https://doi.org/10.1145/3830081
3,ACM TOIS,CCF-A 期刊,信息系统/电商,2026-8-6,CFALR: Collaborative Filtering-Augmented Large Language Model for Personalized Fashion Outfit Recommendation,recommend|personaliz|large language model,10.1145/3829367,https://doi.org/10.1145/3829367
3,ACM TOIS,CCF-A 期刊,信息系统/电商,2026-7-23,CEILLM: Confidence-Aware Dynamic Fusion of Collaborative Embedding-Infused Large Language Models for Conversational Recommendation,recommend|large language model|llm,10.1145/3821536,https://doi.org/10.1145/3821536
3,Decision Support Systems,ABS3/CCF-B,运营/供应链,2026-7,Does paying for visibility pay off? The impact of sponsored recommendations on UGC platforms,recommend|sponsor|platform,10.1016/j.dss.2026.114668,https://doi.org/10.1016/j.dss.2026.114668
3,Electronic Commerce Research,ABS2/电商专刊,营销/定价/促销,2026-8-26,AI-driven consumer insights in live E-commerce: a structural equation modelling approach,consumer|e-commerce|app,10.1007/s10660-026-10189-2,https://doi.org/10.1007/s10660-026-10189-2
3,Electronic Commerce Research,ABS2/电商专刊,营销/定价/促销,2026-8-7,What do users complain about? A BERTopic study on Turkish e-commerce app reviews,review|e-commerce|app,10.1007/s10660-026-10182-9,https://doi.org/10.1007/s10660-026-10182-9
3,Electronic Commerce Research,ABS2/电商专刊,营销/定价/促销,2026-8-7,Cross-channel synergy in live streaming e-commerce: how online platforms and offline experiences jointly shape consumer evaluation,consumer|platform|e-commerce,10.1007/s10660-026-10178-5,https://doi.org/10.1007/s10660-026-10178-5
3,Electronic Commerce Research,ABS2/电商专刊,营销/定价/促销,2026-7-21,Research on the evaluation of e-commerce platform intelligence levels based on a matter-element extension model,search|platform|e-commerce,10.1007/s10660-026-10169-6,https://doi.org/10.1007/s10660-026-10169-6
3,Electronic Commerce Research,ABS2/电商专刊,营销/定价/促销,2026-7-8,The role of consumer reading factors in health product advertising effectiveness in e-commerce: an elaboration likelihood model perspective,advertis|consumer|e-commerce,10.1007/s10660-026-10167-8,https://doi.org/10.1007/s10660-026-10167-8
3,Electronic Commerce Research,ABS2/电商专刊,营销/定价/促销,2026-7-7,A novel uniform second price mechanism for multi-winner auctions in data marketplaces,auction|price|marketplace,10.1007/s10660-026-10164-x,https://doi.org/10.1007/s10660-026-10164-x
3,European Journal of Operational Research,ABS4/CCF-B,运营/供应链,2026-9,New product recommendation in online platforms as marketplaces or resellers,recommend|platform|marketplace,10.1016/j.ejor.2026.01.010,https://doi.org/10.1016/j.ejor.2026.01.010
3,European Journal of Operational Research,ABS4/CCF-B,运营/供应链,2026-8,Traffic diversion vs. self-built e-commerce: The content and e-commerce platform operations considering spillover effect and consumer loyalty,consumer|platform|e-commerce,10.1016/j.ejor.2026.08.035,https://doi.org/10.1016/j.ejor.2026.08.035
3,European Journal of Operational Research,ABS4/CCF-B,运营/供应链,2026-8,An oracle-based approach for price-setting problems in logistics,price|logistic|app,10.1016/j.ejor.2026.08.008,https://doi.org/10.1016/j.ejor.2026.08.008
3,European Journal of Operational Research,ABS4/CCF-B,运营/供应链,2026-7,The impact of joint price dynamics and customer preference on the dynamics of closed loop supply chains,price|supply chain|customer,10.1016/j.ejor.2026.07.043,https://doi.org/10.1016/j.ejor.2026.07.043
